ID,name,batch,category,status,path,commit_sha,proof_ref,notes
UTL-036,LightingPresetManager,B04,Scene Tools,PLANNED,Assets/ToolLab/Editor/LightingPresetManager.cs,,,Save/apply HDRP lighting presets
UTL-037,LODGroupValidator,B04,Scene Tools,PLANNED,Assets/ToolLab/Editor/LODGroupValidator.cs,,,Validate LOD group completeness
UTL-038,ColliderVisualizer,B04,Scene Tools,PLANNED,Assets/ToolLab/Runtime/Scene/ColliderVisualizer.cs,,,Draw colliders in scene view
UTL-039,SceneTagManager,B04,Scene Tools,PLANNED,Assets/ToolLab/Editor/SceneTagManager.cs,,,Batch re-tag scene objects
UTL-040,PrefabDiffViewer,B04,Scene Tools,PLANNED,Assets/ToolLab/Editor/PrefabDiffViewer.cs,,,Show prefab vs scene overrides
UTL-041,TextureImportPreset,B05,Asset Pipeline,PLANNED,Assets/ToolLab/Editor/TextureImportPreset.cs,,,Auto-apply texture import settings
UTL-042,AudioImportPreset,B05,Asset Pipeline,PLANNED,Assets/ToolLab/Editor/AudioImportPreset.cs,,,Auto-apply audio import settings
UTL-043,ModelImportValidator,B05,Asset Pipeline,PLANNED,Assets/ToolLab/Editor/ModelImportValidator.cs,,,Validate FBX on import
UTL-044,AssetSizeAuditor,B05,Asset Pipeline,PLANNED,Assets/ToolLab/Editor/AssetSizeAuditor.cs,,,Report assets over budget
UTL-045,DuplicateAssetFinder,B05,Asset Pipeline,PLANNED,Assets/ToolLab/Editor/DuplicateAssetFinder.cs,,,Find duplicate assets by hash
UTL-046,AssetBundleTagger,B05,Asset Pipeline,PLANNED,Assets/ToolLab/Editor/AssetBundleTagger.cs,,,Batch assign AssetBundle labels
UTL-047,SpriteAtlasPacker,B05,Asset Pipeline,PLANNED,Assets/ToolLab/Editor/SpriteAtlasPacker.cs,,,Trigger atlas re-pack via script
UTL-048,ShaderVariantCollector,B05,Asset Pipeline,PLANNED,Assets/ToolLab/Editor/ShaderVariantCollector.cs,,,Collect shader variants to SVC
UTL-049,ReadableAssetExporter,B05,Asset Pipeline,PLANNED,Assets/ToolLab/Editor/ReadableAssetExporter.cs,,,Export assets to readable format
UTL-050,AssetDependencyGraph,B05,Asset Pipeline,PLANNED,Assets/ToolLab/Editor/AssetDependencyGraph.cs,,,Visualise asset dependency tree
UTL-051,ShaderPropertyInspector,B06,Shader / VFX,PLANNED,Assets/ToolLab/Editor/ShaderPropertyInspector.cs,,,List all shader properties
UTL-052,HdrpMaterialSwitcher,B06,Shader / VFX,PLANNED,Assets/ToolLab/Editor/HdrpMaterialSwitcher.cs,,,Batch-swap to HDRP materials
UTL-053,VfxGraphAuditor,B06,Shader / VFX,PLANNED,Assets/ToolLab/Editor/VfxGraphAuditor.cs,,,Audit VFX Graph performance
UTL-054,ParticleSystemBudget,B06,Shader / VFX,PLANNED,Assets/ToolLab/Editor/ParticleSystemBudget.cs,,,Count active particles at runtime
UTL-055,ShaderKeywordStrip,B06,Shader / VFX,PLANNED,Assets/ToolLab/Editor/ShaderKeywordStrip.cs,,,Strip unused shader keywords
UTL-056,UvTilingDebugger,B06,Shader / VFX,PLANNED,Assets/ToolLab/Runtime/Shader/UvTilingDebugger.cs,,,Visualise UV tiling in viewport
UTL-057,NormalMapValidator,B06,Shader / VFX,PLANNED,Assets/ToolLab/Editor/NormalMapValidator.cs,,,Validate normal map convention
UTL-058,MaterialPropertySetter,B06,Shader / VFX,PLANNED,Assets/ToolLab/Runtime/Shader/MaterialPropertySetter.cs,,,Set MaterialPropertyBlock at runtime
UTL-059,GpuInstancerHelper,B06,Shader / VFX,PLANNED,Assets/ToolLab/Runtime/Shader/GpuInstancerHelper.cs,,,Batch instanced draw calls
UTL-060,RenderFeatureToggler,B06,Shader / VFX,PLANNED,Assets/ToolLab/Runtime/Shader/RenderFeatureToggler.cs,,,Toggle HDRP render features at runtime
UTL-061,UiPanelTransitioner,B07,UI Components,PLANNED,Assets/ToolLab/Runtime/UI/UiPanelTransitioner.cs,,,Fade/slide panel transitions
UTL-062,UiTooltipSystem,B07,UI Components,PLANNED,Assets/ToolLab/Runtime/UI/UiTooltipSystem.cs,,,Hover tooltips for uGUI elements
UTL-063,UiSafeAreaAdjuster,B07,UI Components,PLANNED,Assets/ToolLab/Runtime/UI/UiSafeAreaAdjuster.cs,,,Adjust canvas for device safe area
UTL-064,UiScrollSnap,B07,UI Components,PLANNED,Assets/ToolLab/Runtime/UI/UiScrollSnap.cs,,,Snap ScrollRect to page increments
UTL-065,UiTabGroup,B07,UI Components,PLANNED,Assets/ToolLab/Runtime/UI/UiTabGroup.cs,,,Tab strip with content panels
UTL-066,UiProgressRing,B07,UI Components,PLANNED,Assets/ToolLab/Runtime/UI/UiProgressRing.cs,,,Circular progress indicator
UTL-067,UiDragHandle,B07,UI Components,PLANNED,Assets/ToolLab/Runtime/UI/UiDragHandle.cs,,,Draggable panel handle
UTL-068,UiVirtualList,B07,UI Components,PLANNED,Assets/ToolLab/Runtime/UI/UiVirtualList.cs,,,Virtualised scroll list
UTL-069,UiPopupManager,B07,UI Components,PLANNED,Assets/ToolLab/Runtime/UI/UiPopupManager.cs,,,Stack-based modal popup manager
UTL-070,UiAnimatedCounter,B07,UI Components,PLANNED,Assets/ToolLab/Runtime/UI/UiAnimatedCounter.cs,,,Animate numeric values in TMP
UTL-071,FrameRateMonitor,B08,Diagnostics,PLANNED,Assets/ToolLab/Runtime/Diagnostics/FrameRateMonitor.cs,,,FPS sampling + JSONL output
UTL-072,MemoryUsageReporter,B08,Diagnostics,PLANNED,Assets/ToolLab/Runtime/Diagnostics/MemoryUsageReporter.cs,,,GC + native memory snapshot
UTL-073,DrawCallCounter,B08,Diagnostics,PLANNED,Assets/ToolLab/Runtime/Diagnostics/DrawCallCounter.cs,,,Per-frame draw-call reporting
UTL-074,AssetLoadProfiler,B08,Diagnostics,PLANNED,Assets/ToolLab/Runtime/Diagnostics/AssetLoadProfiler.cs,,,Time async asset loads
UTL-075,PhysicsStepMonitor,B08,Diagnostics,PLANNED,Assets/ToolLab/Runtime/Diagnostics/PhysicsStepMonitor.cs,,,Fixed-update timing histogram
UTL-076,SceneLoadTimer,B08,Diagnostics,PLANNED,Assets/ToolLab/Runtime/Diagnostics/SceneLoadTimer.cs,,,Time additive/single scene loads
UTL-077,RenderPassProfiler,B08,Diagnostics,PLANNED,Assets/ToolLab/Runtime/Diagnostics/RenderPassProfiler.cs,,,Profile HDRP render passes
UTL-078,NetworkLatencyProbe,B08,Diagnostics,PLANNED,Assets/ToolLab/Runtime/Diagnostics/NetworkLatencyProbe.cs,,,Measure round-trip latency
UTL-079,DiagnosticsHud,B08,Diagnostics,PLANNED,Assets/ToolLab/Runtime/Diagnostics/DiagnosticsHud.cs,,,On-screen diagnostics overlay
UTL-080,CrashReportWriter,B08,Diagnostics,PLANNED,Assets/ToolLab/Runtime/Diagnostics/CrashReportWriter.cs,,,Write structured crash JSONL
UTL-081,BuildAutomator,B09,Automation,PLANNED,Assets/ToolLab/Editor/BuildAutomator.cs,,,CI-friendly headless build
UTL-082,TestRunner,B09,Automation,PLANNED,Assets/ToolLab/Editor/TestRunner.cs,,,Trigger EditMode/PlayMode tests
UTL-083,ScreenshotCapture,B09,Automation,PLANNED,Assets/ToolLab/Runtime/Automation/ScreenshotCapture.cs,,,Capture + name screenshots
UTL-084,GitStatusReader,B09,Automation,PLANNED,Assets/ToolLab/Editor/GitStatusReader.cs,,,Read git status from Editor
UTL-085,ChangelogGenerator,B09,Automation,PLANNED,Assets/ToolLab/Editor/ChangelogGenerator.cs,,,Generate CHANGELOG from git log
UTL-086,ProjectValidator,B09,Automation,PLANNED,Assets/ToolLab/Editor/ProjectValidator.cs,,,Pre-build project validation
UTL-087,PackageExporter,B09,Automation,PLANNED,Assets/ToolLab/Editor/PackageExporter.cs,,,Export .unitypackage via script
UTL-088,SceneAutoLoader,B09,Automation,PLANNED,Assets/ToolLab/Editor/SceneAutoLoader.cs,,,Load boot scene on Play
UTL-089,PlayerPrefsCleaner,B09,Automation,PLANNED,Assets/ToolLab/Editor/PlayerPrefsCleaner.cs,,,Menu command to wipe PlayerPrefs
UTL-090,AssetPostprocessBatch,B09,Automation,PLANNED,Assets/ToolLab/Editor/AssetPostprocessBatch.cs,,,Batch re-run AssetPostprocessors
UTL-091,NotionLogBridge,B10,Integrations,PLANNED,Assets/ToolLab/Runtime/Integrations/NotionLogBridge.cs,,,Push JSONL entries to Notion
UTL-092,SlackNotifier,B10,Integrations,PLANNED,Assets/ToolLab/Runtime/Integrations/SlackNotifier.cs,,,Post build/gate results to Slack
UTL-093,GithubIssueCreator,B10,Integrations,PLANNED,Assets/ToolLab/Runtime/Integrations/GithubIssueCreator.cs,,,Open GitHub issue from JSONL entry
UTL-094,JiraTicketBridge,B10,Integrations,PLANNED,Assets/ToolLab/Runtime/Integrations/JiraTicketBridge.cs,,,Create Jira ticket from log
UTL-095,SupabaseLogSink,B10,Integrations,PLANNED,Assets/ToolLab/Runtime/Integrations/SupabaseLogSink.cs,,,Stream JSONL to Supabase table
UTL-096,FigmaAssetSync,B10,Integrations,PLANNED,Assets/ToolLab/Runtime/Integrations/FigmaAssetSync.cs,,,Pull Figma assets into project
UTL-097,VercelDeployTrigger,B10,Integrations,PLANNED,Assets/ToolLab/Runtime/Integrations/VercelDeployTrigger.cs,,,Trigger Vercel deploy on gate PASS
UTL-098,ZapierWebhookSink,B10,Integrations,PLANNED,Assets/ToolLab/Runtime/Integrations/ZapierWebhookSink.cs,,,POST log entries to Zapier webhook
UTL-099,CalendarGateLogger,B10,Integrations,PLANNED,Assets/ToolLab/Runtime/Integrations/CalendarGateLogger.cs,,,Log gate events to calendar
UTL-100,RegistryIndexer,B10,Integrations,PLANNED,Assets/ToolLab/Registry/RegistryIndexer.cs,,,Auto-index all UTL-* entries
